CLASE;TIEMPO
U_ENTRANTES;69,429344
U_ENTRANTES;67,530487
U_SALIENTES;43,652611
U_ENTRANTES;53,881332
U_ENTRANTES;39,169537
U_SALIENTES;28,523962
U_SALIENTES;29,220406
U_SALIENTES;46,602863
U_SALIENTES;25,002283
U_ENTRANTES;49,779190
U_SALIENTES;33,873787
U_SALIENTES;25,141722
U_ENTRANTES;54,686398
U_ENTRANTES;65,107872
U_SALIENTES;64,604820
U_SALIENTES;29,294567
U_ENTRANTES;112,286270
U_ENTRANTES;55,147449
U_SALIENTES;19,976021
U_ENTRANTES;53,485668
U_ENTRANTES;56,796959
U_ENTRANTES;73,390244
U_ENTRANTES;40,800026
U_SALIENTES;20,620928
U_ENTRANTES;71,344482
U_SALIENTES;25,139454
U_ENTRANTES;95,773682
U_ENTRANTES;67,974174
U_ENTRANTES;48,421261
U_SALIENTES;41,269409
U_SALIENTES;32,421104
U_SALIENTES;23,151737
U_ENTRANTES;62,785828
U_ENTRANTES;63,817863
U_ENTRANTES;70,338127
U_SALIENTES;38,854179
U_ENTRANTES;98,055038
U_SALIENTES;22,410225
U_ENTRANTES;75,782753
U_ENTRANTES;47,985413
U_SALIENTES;23,436625
U_ENTRANTES;72,109627
U_SALIENTES;56,405636
U_SALIENTES;38,836235
U_ENTRANTES;53,576672
U_SALIENTES;32,829227
U_ENTRANTES;46,542137
U_ENTRANTES;43,534191
U_ENTRANTES;50,970913
U_ENTRANTES;105,058205
U_ENTRANTES;54,721424
U_ENTRANTES;96,416779
U_ENTRANTES;84,437485
U_ENTRANTES;37,291260
U_SALIENTES;28,244452
U_ENTRANTES;70,249977
U_ENTRANTES;88,914467
U_SALIENTES;21,401823
U_ENTRANTES;42,956604
U_SALIENTES;55,568825
U_ENTRANTES;61,022438
U_SALIENTES;21,874084
U_SALIENTES;21,305725
U_ENTRANTES;83,115700
U_ENTRANTES;52,543888
U_ENTRANTES;59,217773
U_SALIENTES;16,925348
U_ENTRANTES;45,263718
U_SALIENTES;30,540462
U_SALIENTES;30,680788
U_ENTRANTES;60,258827
U_ENTRANTES;50,625740
U_ENTRANTES;54,505562
U_ENTRANTES;38,975796
U_ENTRANTES;90,627670
U_SALIENTES;20,406027
U_SALIENTES;58,228580
U_ENTRANTES;63,749344
U_SALIENTES;33,879189
U_SALIENTES;11,253547
U_ENTRANTES;47,081577
U_SALIENTES;46,403446
U_ENTRANTES;39,223728
U_SALIENTES;57,007019
U_SALIENTES;50,567619
U_ENTRANTES;69,704567
U_SALIENTES;30,670971
U_ENTRANTES;58,450207
U_ENTRANTES;52,949703
U_SALIENTES;43,185707
U_ENTRANTES;63,504467
U_SALIENTES;39,414875
U_SALIENTES;47,259109
U_SALIENTES;66,444542
U_SALIENTES;24,253929
U_ENTRANTES;56,338955
U_SALIENTES;73,401443
U_SALIENTES;53,653500
U_SALIENTES;50,416965
U_SALIENTES;40,445557
U_ENTRANTES;73,256966
U_SALIENTES;30,361736
U_SALIENTES;57,611607
U_ENTRANTES;57,662037
U_ENTRANTES;47,908344
U_SALIENTES;25,665495
U_SALIENTES;14,329602
U_SALIENTES;26,407764
U_SALIENTES;39,079750
U_SALIENTES;55,426777
U_SALIENTES;42,721054
U_SALIENTES;32,309986
TRIPULACION;38,029461
U_SALIENTES;36,727066
U_SALIENTES;41,227623
U_SALIENTES;45,643185
U_ENTRANTES;90,510185
U_SALIENTES;26,721985
U_ENTRANTES;72,211136
U_ENTRANTES;72,173920
U_ENTRANTES;86,708961
U_SALIENTES;34,861828
U_SALIENTES;26,640699
U_SALIENTES;36,599678
U_SALIENTES;32,734333
U_SALIENTES;39,475956
U_SALIENTES;26,865461
U_SALIENTES;47,353050
U_SALIENTES;27,191280
U_SALIENTES;30,457569
U_SALIENTES;29,294298
U_ENTRANTES;91,554512
U_ENTRANTES;52,101078
U_SALIENTES;94,695610
U_ENTRANTES;61,847172
U_ENTRANTES;78,582939
U_ENTRANTES;94,035439
U_SALIENTES;16,981060
U_ENTRANTES;52,113716
U_SALIENTES;27,337973
U_SALIENTES;65,683830
U_ENTRANTES;77,387596
U_ENTRANTES;49,263039
U_ENTRANTES;41,303890
U_SALIENTES;58,085079
U_SALIENTES;20,548170
U_ENTRANTES;55,916935
U_SALIENTES;32,560802
U_SALIENTES;57,855053
U_ENTRANTES;66,176849
U_ENTRANTES;58,265324
U_ENTRANTES;78,127754
U_ENTRANTES;68,114777
U_ENTRANTES;45,152046
U_SALIENTES;51,528114
U_ENTRANTES;97,678642
U_SALIENTES;23,701082
U_SALIENTES;37,567364
U_ENTRANTES;44,274822
TRIPULACION;76,815994
U_SALIENTES;28,066868
U_SALIENTES;13,558646
U_ENTRANTES;64,262009
U_SALIENTES;33,191654
U_ENTRANTES;76,194595
U_SALIENTES;22,485865
U_ENTRANTES;56,170788
U_ENTRANTES;37,310707
U_ENTRANTES;44,807987
U_SALIENTES;38,875000
U_ENTRANTES;90,018570
U_SALIENTES;37,057060
U_SALIENTES;27,373087
U_ENTRANTES;73,026527
U_SALIENTES;33,254402
U_SALIENTES;47,178913
U_SALIENTES;67,238678
U_SALIENTES;32,740395
U_SALIENTES;38,485287
U_SALIENTES;32,732117
U_ENTRANTES;51,405163
U_ENTRANTES;45,176590
U_ENTRANTES;59,309002
U_SALIENTES;24,699175
U_ENTRANTES;68,349442
U_SALIENTES;58,652454
U_SALIENTES;61,600254
U_ENTRANTES;73,517616
U_ENTRANTES;62,887577
U_SALIENTES;23,221046
U_SALIENTES;51,494907
U_ENTRANTES;79,094353
U_ENTRANTES;63,500584
U_SALIENTES;33,270504
U_ENTRANTES;30,943548
U_ENTRANTES;65,848289
U_SALIENTES;29,221975
U_ENTRANTES;44,512932
U_ENTRANTES;58,696529
U_ENTRANTES;61,241096
U_SALIENTES;29,269636
U_ENTRANTES;56,351101
U_SALIENTES;28,801279
